model,group,cell,condition,accuracy,paired_success,log_loss,brier
fixed/reference,civ-19,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,legato,intact,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,civ-19,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-19,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,legato,intact,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,civ-19,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-19,legato,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-19,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-19,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,duration,intact,0.0,0.0,6.907755278982137,1.90245
streaming/reference,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition2,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,duration,intact,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-19,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,duration,intact,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,civ-19,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-19,duration,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-19,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-19,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,joint,intact,0.0,0.0,6.907755278982137,1.90245
streaming/reference,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.99800098
streaming/transition2,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,joint,intact,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-19,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,joint,intact,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,civ-19,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-19,joint,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-19,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-19,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999
streaming/reference,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition2,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/present,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999
oracle-boundary/reference,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition1,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition2,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition3,civ-19,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
streaming/absolute,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,joint,removal,0.0,0.0,6.907755278982137,1.90245
streaming/reference,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.99800098
streaming/transition2,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,joint,removal,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/present,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,joint,removal,0.0,0.0,6.907755278982137,1.2819812499999999
oracle-boundary/reference,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition1,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition2,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition3,civ-19,joint,removal,0.0,0.0,10.819778284410283,1.3118752925
streaming/absolute,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,joint,swap,0.0,0.0,6.907755278982137,1.90245
streaming/reference,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.99800098
streaming/transition2,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,joint,swap,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-19,joint,swap,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,joint,swap,0.0,0.0,6.907755278982137,1.90245
oracle-boundary/reference,civ-19,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-19,joint,swap,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-19,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-19,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632
streaming/reference,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition2,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,joint,shuffle,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-19,joint,shuffle,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,joint,shuffle,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,civ-19,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-19,joint,shuffle,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-19,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-19,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/present,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,civ-19,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
streaming/reference,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition1,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition2,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
streaming/transition3,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/absolute,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,civ-19,joint,ambiguous,0.0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition2,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,civ-19,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/present,civ-19,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,civ-19,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245
oracle-boundary/reference,civ-19,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition1,civ-19,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,civ-19,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition3,civ-19,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048
streaming/absolute,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
streaming/reference,civ-20,detached,intact,0.5,0.0,1.040631187595745,0.5310631362500001
streaming/transition1,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,detached,intact,0.0,0.0,6.907755278982137,1.90245
fixed/reference,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,detached,intact,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-20,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,civ-20,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-20,detached,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,civ-20,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-20,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,legato,intact,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,legato,intact,0.0,0.0,6.907755278982137,1.90245
fixed/reference,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-20,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,civ-20,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-20,legato,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,civ-20,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-20,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,duration,intact,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,duration,intact,0.0,0.0,2.1223490426911127,1.0444812499999996
fixed/reference,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-20,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,civ-20,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-20,duration,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,civ-20,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-20,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,joint,intact,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,joint,intact,0.0,0.0,2.1223490426911127,1.0444812499999996
fixed/reference,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-20,joint,intact,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,civ-20,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-20,joint,intact,0.5,0.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,civ-20,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-20,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,joint,reset,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,joint,reset,0.0,0.0,2.1223490426911127,1.0444812499999996
fixed/reference,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/present,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,joint,reset,0.0,0.0,2.1223490426911127,1.0444812499999996
oracle-boundary/reference,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/transition1,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/transition2,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/transition3,civ-20,joint,reset,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/absolute,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,joint,removal,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,joint,removal,0.0,0.0,2.1223490426911127,1.0444812499999996
fixed/reference,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/present,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,joint,removal,0.0,0.0,2.1223490426911127,1.0444812499999996
oracle-boundary/reference,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/transition1,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/transition2,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/transition3,civ-20,joint,removal,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/absolute,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,joint,swap,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition1,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition2,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/transition3,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/absolute,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/present,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/recency,civ-20,joint,swap,0.0,0.0,2.1223490426911127,1.0444812499999996
fixed/reference,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition1,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition2,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
fixed/transition3,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/absolute,civ-20,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,civ-20,joint,swap,0.0,0.0,2.0802818946775288,1.0621252925000002
oracle-boundary/recency,civ-20,joint,swap,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,civ-20,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,civ-20,joint,swap,0.5,0.0,0.6941076416550698,0.5000004800000002
oracle-boundary/transition2,civ-20,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,civ-20,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,civ-20,joint,shuffle,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/present,civ-20,joint,shuffle,0.0,0.0,2.0802818946775288,1.0621252925000002
streaming/recency,civ-20,joint,shuffle,0.0,0.0,2.1223490426911127,1.0444812499999996
streaming/reference,civ-20,joint,shuffle,0.0,0.0,2.0802818946775288,1.0621252925000002
