model,group,cell,condition,variant,accuracy,log_loss,brier
repaired_transition1,for-09,timbre,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-09,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-09,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-09,timbre,intact,1,0.0,10.819778284410283,1.3118752925
old_recency,for-09,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-09,timbre,intact,1,0.0,0.69410764165507,0.50000048
old_transition2,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-09,timbre,intact,1,0.0,10.819778284410283,1.3118752925
repaired_recency,for-09,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-09,timbre,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-09,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_absolute,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_present,for-09,duration,intact,0,0.0,10.819778284410283,1.3118752925
old_recency,for-09,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition1,for-09,duration,intact,0,1.0,0.69410764165507,0.50000048
old_transition2,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_transition3,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_absolute,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_present,for-09,duration,intact,0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-09,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition1,for-09,duration,intact,0,1.0,0.69410764165507,0.50000048
repaired_transition2,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
repaired_transition3,for-09,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07
old_absolute,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_present,for-09,duration,intact,1,0.0,10.819778284410283,1.3118752925
old_recency,for-09,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition1,for-09,duration,intact,1,0.0,0.69410764165507,0.50000048
old_transition2,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
old_transition3,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_absolute,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_present,for-09,duration,intact,1,0.0,10.819778284410283,1.3118752925
repaired_recency,for-09,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition1,for-09,duration,intact,1,0.0,0.69410764165507,0.50000048
repaired_transition2,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
repaired_transition3,for-09,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07
