model,group,cell,condition,variant,accuracy,log_loss,brier
streaming/reference,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
streaming/transition1,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
fixed/absolute,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-16,joint,reset,1,0.0,6.907755278982137,1.2819812499999999
fixed/reference,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
fixed/transition2,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/present,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,joint,reset,1,0.0,6.907755278982137,1.2819812499999999
oracle-boundary/reference,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition1,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition2,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition3,ewr-16,joint,reset,1,0.0,10.819778284410283,1.3118752925
repaired/absolute,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
repaired/present,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-16,joint,removal,0,0.0,6.907755278982137,1.2819812499999999
repaired/reference,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
repaired/transition1,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
repaired/transition2,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
repaired/transition3,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
streaming/absolute,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
streaming/present,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-16,joint,removal,0,0.0,6.907755278982137,1.2819812499999999
streaming/reference,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
streaming/transition1,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
streaming/transition2,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
streaming/transition3,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
fixed/absolute,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-16,joint,removal,0,0.0,6.907755278982137,1.2819812499999999
fixed/reference,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
fixed/transition2,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/present,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-16,joint,removal,0,0.0,6.907755278982137,1.2819812499999999
oracle-boundary/reference,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition1,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition2,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
oracle-boundary/transition3,ewr-16,joint,removal,0,0.0,10.819778284410283,1.3118752925
repaired/absolute,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
repaired/present,ewr-16,joint,removal,1,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-16,joint,removal,1,0.0,6.907755278982137,1.2819812499999999
