kind,model,group,cell,condition,variant,accuracy,log_loss,brier,target_quantization_error
acoustic,retrieval_absolute,cmr-27,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,2.3263906468784512e-05
acoustic,transition,cmr-27,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,2.3263906468784512e-05
oracle,present,cmr-27,joint,ambiguous,1,0.0,1.7196713928338012,0.7988171874999994,0.0
oracle,recency,cmr-27,joint,ambiguous,1,1.0,3.4789982477094417,0.9524499999999994,0.0
oracle,transition,cmr-27,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,0.0
oracle,retrieval_absolute,cmr-27,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,0.0
oracle,reference,cmr-27,joint,ambiguous,1,0.0,0.69410764165507,0.50000048,0.0
oracle,candidate,cmr-27,joint,ambiguous,1,0.0,0.7423374247507171,0.5012000000000001,0.0
acoustic,candidate,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
acoustic,present,cmr-28,matched,intact,0,1.0,1.7196713928338012,0.7988171875000005,6.869357795480369e-06
acoustic,recency,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
acoustic,reference,cmr-28,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,6.869357795480369e-06
acoustic,retrieval_absolute,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
acoustic,transition,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
oracle,present,cmr-28,matched,intact,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,matched,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,matched,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
acoustic,present,cmr-28,matched,intact,1,0.0,1.7196713928338012,0.7988171875000005,6.869357795480369e-06
acoustic,recency,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
acoustic,reference,cmr-28,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,6.869357795480369e-06
acoustic,retrieval_absolute,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
acoustic,transition,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,6.869357795480369e-06
oracle,present,cmr-28,matched,intact,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,matched,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,matched,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,timbre,intact,0,0.0,6.907755278982137,1.9024499999999982,2.4426316578285423e-06
acoustic,present,cmr-28,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,2.4426316578285423e-06
acoustic,recency,cmr-28,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,2.4426316578285423e-06
acoustic,reference,cmr-28,timbre,intact,0,0.0,10.819778284410283,1.998000980000001,2.4426316578285423e-06
acoustic,retrieval_absolute,cmr-28,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,2.4426316578285423e-06
acoustic,transition,cmr-28,timbre,intact,0,0.0,6.907755278982137,1.1550671874999985,2.4426316578285423e-06
oracle,present,cmr-28,timbre,intact,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,timbre,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,timbre,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,timbre,intact,1,0.0,6.907755278982137,1.9024499999999982,2.4426316578285423e-06
acoustic,present,cmr-28,timbre,intact,1,0.0,6.907755278982137,1.155067187499998,2.4426316578285423e-06
acoustic,recency,cmr-28,timbre,intact,1,0.0,6.907755278982137,1.155067187499998,2.4426316578285423e-06
acoustic,reference,cmr-28,timbre,intact,1,0.0,10.819778284410283,1.998000980000001,2.4426316578285423e-06
acoustic,retrieval_absolute,cmr-28,timbre,intact,1,0.0,6.907755278982137,1.155067187499998,2.4426316578285423e-06
acoustic,transition,cmr-28,timbre,intact,1,0.0,6.907755278982137,1.155067187499998,2.4426316578285423e-06
oracle,present,cmr-28,timbre,intact,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,timbre,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,timbre,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
acoustic,present,cmr-28,duration,intact,0,1.0,1.7196713928338012,0.7988171875000005,3.125023536920679e-05
acoustic,recency,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
acoustic,reference,cmr-28,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,3.125023536920679e-05
acoustic,retrieval_absolute,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
acoustic,transition,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
oracle,present,cmr-28,duration,intact,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,duration,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
acoustic,present,cmr-28,duration,intact,1,0.0,1.7196713928338012,0.7988171875000005,3.125023536920679e-05
acoustic,recency,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
acoustic,reference,cmr-28,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,3.125023536920679e-05
acoustic,retrieval_absolute,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
acoustic,transition,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,3.125023536920679e-05
oracle,present,cmr-28,duration,intact,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,duration,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,duration,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,joint,intact,0,0.0,6.907755278982137,1.9024499999999982,1.0408395624494915e-05
acoustic,present,cmr-28,joint,intact,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,intact,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,intact,0,0.0,10.819778284410283,1.998000980000001,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,intact,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,intact,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
oracle,present,cmr-28,joint,intact,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,joint,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,joint,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,joint,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,joint,intact,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,joint,intact,1,0.0,6.907755278982137,1.9024499999999982,1.0408395624494915e-05
acoustic,present,cmr-28,joint,intact,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,intact,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,intact,1,0.0,10.819778284410283,1.998000980000001,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,intact,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,intact,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
oracle,present,cmr-28,joint,intact,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,joint,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,joint,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,joint,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,joint,intact,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,joint,reset,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,present,cmr-28,joint,reset,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,reset,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,reset,0,0.0,10.819778284410283,1.3118752925000012,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,reset,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,reset,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
oracle,present,cmr-28,joint,reset,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,reset,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,transition,cmr-28,joint,reset,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,retrieval_absolute,cmr-28,joint,reset,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,reference,cmr-28,joint,reset,0,0.0,2.0802818946775288,1.062125292500001,0.0
oracle,candidate,cmr-28,joint,reset,0,1.0,1.7196713928338012,0.7988171875000005,0.0
acoustic,candidate,cmr-28,joint,reset,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,present,cmr-28,joint,reset,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,reset,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,reset,1,0.0,10.819778284410283,1.3118752925000008,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,reset,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,reset,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
oracle,present,cmr-28,joint,reset,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,reset,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,transition,cmr-28,joint,reset,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,retrieval_absolute,cmr-28,joint,reset,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,reference,cmr-28,joint,reset,1,0.0,2.0802818946775288,1.0621252925000007,0.0
oracle,candidate,cmr-28,joint,reset,1,0.0,1.7196713928338012,0.7988171875000005,0.0
acoustic,candidate,cmr-28,joint,removal,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,present,cmr-28,joint,removal,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,removal,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,removal,0,0.0,10.819778284410283,1.3118752925000012,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,removal,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,removal,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
oracle,present,cmr-28,joint,removal,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,removal,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,transition,cmr-28,joint,removal,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,retrieval_absolute,cmr-28,joint,removal,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,reference,cmr-28,joint,removal,0,0.0,2.0802818946775288,1.062125292500001,0.0
oracle,candidate,cmr-28,joint,removal,0,1.0,1.7196713928338012,0.7988171875000005,0.0
acoustic,candidate,cmr-28,joint,removal,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,present,cmr-28,joint,removal,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,removal,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,removal,1,0.0,10.819778284410283,1.3118752925000008,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,removal,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,removal,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
oracle,present,cmr-28,joint,removal,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,removal,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,transition,cmr-28,joint,removal,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,retrieval_absolute,cmr-28,joint,removal,1,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,reference,cmr-28,joint,removal,1,0.0,2.0802818946775288,1.0621252925000007,0.0
oracle,candidate,cmr-28,joint,removal,1,0.0,1.7196713928338012,0.7988171875000005,0.0
acoustic,candidate,cmr-28,joint,swap,0,0.0,6.907755278982137,1.9024499999999982,1.0408395624494915e-05
acoustic,present,cmr-28,joint,swap,0,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,swap,0,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,swap,0,0.0,10.819778284410283,1.998000980000001,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,swap,0,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,swap,0,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
oracle,present,cmr-28,joint,swap,0,0.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,swap,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,joint,swap,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,joint,swap,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,joint,swap,0,1.0,0.0009804805139614205,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,joint,swap,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,joint,swap,1,0.0,6.907755278982137,1.9024499999999982,1.0408395624494915e-05
acoustic,present,cmr-28,joint,swap,1,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,swap,1,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,swap,1,0.0,10.819778284410283,1.998000980000001,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,swap,1,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,swap,1,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
oracle,present,cmr-28,joint,swap,1,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,swap,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-28,joint,swap,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,joint,swap,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,joint,swap,1,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,joint,swap,1,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,joint,shuffle,0,0.0,6.907755278982137,1.9024499999999982,1.0408395624494915e-05
acoustic,present,cmr-28,joint,shuffle,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,shuffle,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,shuffle,0,0.0,10.819778284410283,1.998000980000001,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,shuffle,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
acoustic,transition,cmr-28,joint,shuffle,0,0.0,6.907755278982137,1.1550671874999985,1.0408395624494915e-05
oracle,present,cmr-28,joint,shuffle,0,1.0,1.7196713928338012,0.7988171875000005,0.0
oracle,recency,cmr-28,joint,shuffle,0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-28,joint,shuffle,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,retrieval_absolute,cmr-28,joint,shuffle,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,reference,cmr-28,joint,shuffle,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.0
oracle,candidate,cmr-28,joint,shuffle,0,1.0,0.05024121643674679,0.0024500000000000632,0.0
acoustic,candidate,cmr-28,joint,shuffle,1,0.0,6.907755278982137,1.9024499999999982,1.0408395624494915e-05
acoustic,present,cmr-28,joint,shuffle,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,recency,cmr-28,joint,shuffle,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
acoustic,reference,cmr-28,joint,shuffle,1,0.0,10.819778284410283,1.998000980000001,1.0408395624494915e-05
acoustic,retrieval_absolute,cmr-28,joint,shuffle,1,0.0,6.907755278982137,1.155067187499998,1.0408395624494915e-05
